date,open,high,low,close,volume
2025-07-17,435.0,469.25,435.0,445.05,17540423
2025-07-18,450.15,468.45,450.15,458.75,5677590
2025-07-21,453.0,457.65,423.05,430.45,2454725
2025-07-22,430.0,438.6,419.35,422.6,1731690
2025-07-23,425.45,427.7,412.2,422.05,978484
2025-07-24,422.3,437.65,419.15,425.2,1140221
2025-07-25,425.0,425.0,410.1,417.0,663558
2025-07-28,417.0,419.1,392.7,410.6,920671
2025-07-29,410.5,420.5,406.7,418.85,452218
2025-07-30,420.0,423.6,409.9,420.6,244142
2025-07-31,414.0,429.05,412.0,425.5,261400
2025-08-01,422.5,434.45,419.8,425.0,419651
2025-08-04,425.35,430.0,414.6,423.55,314533
2025-08-05,429.6,437.0,421.1,427.8,429006
2025-08-06,427.9,433.95,419.2,431.65,184990
2025-08-07,430.5,444.9,430.45,438.25,563932
2025-08-08,442.4,449.5,432.6,445.95,622356
2025-08-11,445.0,457.6,437.0,454.25,384541
2025-08-12,452.0,469.9,452.0,465.85,583104
2025-08-13,462.05,462.05,444.8,457.55,635668
2025-08-14,452.0,458.9,451.5,455.0,136368
2025-08-18,455.0,477.45,452.9,458.45,355229
2025-08-19,458.2,483.0,458.2,477.25,859898
2025-08-20,482.0,486.0,470.85,476.05,362814
2025-08-21,476.0,485.7,469.3,475.6,321395
2025-08-22,471.1,498.7,469.7,491.1,835897
2025-08-25,489.05,505.1,481.55,490.5,549664
2025-08-26,485.1,499.0,481.7,491.05,337793
2025-08-28,486.6,493.8,474.75,485.7,136888
2025-08-29,482.3,493.0,481.1,489.2,278928
2025-09-01,489.0,503.5,486.7,495.15,182727
2025-09-02,499.95,527.0,495.0,519.7,655616
2025-09-03,519.7,543.65,517.05,535.15,429795
2025-09-04,535.2,544.9,523.5,542.9,286165
2025-09-05,542.9,542.9,521.0,525.3,123605
2025-09-08,530.95,530.95,513.5,517.3,107127
2025-09-09,518.8,522.8,513.0,521.4,81360
2025-09-10,521.45,527.45,501.2,507.95,159834
2025-09-11,512.95,524.1,509.55,521.0,132490
2025-09-12,520.05,525.5,513.5,516.15,104307
2025-09-15,523.0,527.8,507.05,512.35,74487
2025-09-16,516.8,524.0,511.85,518.35,68575
2025-09-17,516.0,522.45,509.55,511.4,91563
2025-09-18,520.0,539.9,513.0,515.6,337910
2025-09-19,521.5,551.0,515.65,545.7,359973
2025-09-22,543.0,557.85,537.0,540.8,214945
2025-09-23,553.05,575.0,524.5,563.6,509731
2025-09-24,560.85,575.0,554.0,569.0,200340
2025-09-25,568.0,580.9,561.6,574.15,207707
2025-09-26,570.0,586.0,568.4,575.75,318745
2025-09-29,572.9,580.7,557.15,564.95,99551
2025-09-30,564.0,574.95,554.05,561.75,149354
2025-10-01,559.1,572.0,550.0,560.85,49531
2025-10-03,560.85,571.95,560.45,566.0,65155
2025-10-06,566.05,581.85,561.0,570.15,169460
2025-10-07,572.9,598.9,571.95,586.85,295156
2025-10-08,586.8,596.4,582.6,591.8,106889
2025-10-09,591.8,617.9,591.8,605.15,341552
2025-10-10,608.0,615.0,582.1,586.75,223045
2025-10-13,575.05,585.4,557.6,560.9,157805
2025-10-14,564.45,567.7,533.15,540.7,213811
2025-10-15,540.7,552.3,532.05,546.4,78179
2025-10-16,555.0,556.85,540.0,544.05,47430
2025-10-17,535.9,553.4,535.9,540.25,155457
2025-10-20,540.25,548.6,534.95,539.95,39781
2025-10-21,558.0,562.55,549.1,556.3,79104
2025-10-23,564.0,577.3,554.4,563.85,186149
2025-10-24,558.0,570.05,555.9,557.5,62900
2025-10-27,563.1,568.45,548.05,559.75,114457
2025-10-28,559.0,579.5,556.0,575.45,68542
2025-10-29,575.0,583.0,561.25,564.75,41333
2025-10-30,564.7,574.9,560.55,568.95,75307
2025-10-31,572.0,589.0,570.8,579.65,106129
2025-11-03,575.65,610.1,573.9,594.25,197272
2025-11-04,607.7,619.0,594.1,606.65,207140
2025-11-06,600.0,613.0,593.95,599.75,108312
2025-11-07,590.0,590.0,539.0,578.6,441655
2025-11-10,579.0,595.05,571.05,589.35,178407
2025-11-11,592.4,596.0,586.45,587.3,59472
2025-11-12,585.0,592.0,582.65,584.9,125639
2025-11-13,584.8,590.4,577.0,581.0,39514
2025-11-14,581.0,587.95,577.0,578.9,27937
2025-11-17,578.0,585.0,568.55,574.95,50765
2025-11-18,574.95,586.0,568.0,575.8,54106
2025-11-19,584.0,584.0,561.35,566.75,81589
2025-11-20,575.25,575.25,560.0,564.75,31755
2025-11-21,555.6,564.0,547.0,549.25,76968
2025-11-24,549.25,559.7,527.25,530.0,61174
