date,open,high,low,close,volume
2025-03-24,709.75,736.0,709.25,725.3,564709
2025-03-25,728.95,737.0,720.3,728.0,419203
2025-03-26,724.45,739.0,715.2,721.9,362843
2025-03-27,717.0,735.0,706.8,726.65,283699
2025-03-28,726.95,732.9,688.0,692.7,381913
2025-04-01,692.7,698.45,678.65,684.25,206946
2025-04-02,684.5,688.2,671.9,683.05,270966
2025-04-03,677.0,701.0,675.05,685.9,330264
2025-04-04,684.6,691.0,665.2,674.7,266061
2025-04-07,592.45,633.95,577.4,624.9,531814
2025-04-08,635.1,655.0,628.75,633.95,296148
2025-04-09,626.6,634.4,609.0,612.35,224594
2025-04-11,622.7,668.9,622.7,660.6,1238125
2025-04-15,681.65,764.85,676.65,751.8,4331554
2025-04-16,744.0,769.9,735.0,750.5,1251468
2025-04-17,745.85,761.8,734.0,758.55,482323
2025-04-21,767.5,793.5,764.55,780.85,1262218
2025-04-22,784.4,802.05,762.9,766.1,709135
2025-04-23,772.0,805.0,771.4,803.35,975360
2025-04-24,805.05,826.7,802.5,809.45,505052
2025-04-25,808.85,808.85,751.6,765.25,477303
2025-04-28,767.0,778.05,757.55,762.5,289797
2025-04-29,765.0,800.0,765.0,790.1,886162
2025-04-30,793.05,814.9,776.7,789.55,758586
2025-05-02,792.0,807.25,783.3,791.3,240568
2025-05-05,798.9,840.5,794.9,815.3,961711
2025-05-06,815.25,820.75,779.9,782.9,246417
2025-05-07,780.0,828.6,774.45,814.05,799136
2025-05-08,824.2,884.95,819.0,842.8,2847592
2025-05-09,828.5,888.65,825.0,842.9,2657933
2025-05-12,865.0,949.0,856.05,896.5,3574240
2025-05-13,893.0,919.9,886.2,913.35,963419
2025-05-14,910.0,989.7,906.9,975.9,2470279
2025-05-15,980.0,1033.95,979.1,1025.65,1875364
2025-05-16,1028.1,1079.0,1021.1,1074.55,1083206
2025-05-19,1075.0,1110.0,1045.55,1062.15,1197957
2025-05-20,1050.0,1095.0,1046.45,1069.35,1065581
2025-05-21,1069.35,1103.0,1066.8,1091.35,873214
2025-05-22,1088.05,1110.65,1075.0,1105.25,660341
2025-05-23,1105.25,1107.4,1071.7,1082.1,311702
2025-05-26,1078.0,1100.0,1065.0,1085.85,229893
2025-05-27,1080.0,1128.0,1068.2,1079.1,1205939
2025-05-28,1085.0,1131.8,1079.6,1098.05,1151282
2025-05-29,1104.5,1164.7,1104.5,1147.9,1926038
2025-05-30,1151.0,1175.0,1130.0,1172.55,1018768
2025-06-02,1176.0,1197.9,1168.8,1192.8,730229
2025-06-03,1195.0,1209.7,1165.0,1170.7,516431
2025-06-04,1181.5,1202.5,1169.1,1194.1,554847
2025-06-05,1201.0,1202.0,1176.2,1182.8,483552
2025-06-06,1190.0,1198.0,1157.1,1162.9,321900
2025-06-09,1167.6,1180.0,1136.1,1149.2,304449
2025-06-10,1152.0,1186.0,1152.0,1175.1,446567
2025-06-11,1185.0,1239.0,1182.3,1215.1,1688173
2025-06-12,1221.1,1239.0,1186.9,1205.3,495717
2025-06-13,1187.8,1209.0,1150.0,1187.9,394260
2025-06-16,1185.0,1219.8,1133.3,1210.8,632199
2025-06-17,1216.7,1255.0,1196.2,1227.9,1024767
2025-06-18,1227.9,1233.1,1192.0,1199.7,328279
2025-06-19,1199.1,1202.6,1137.0,1141.9,517858
2025-06-20,1135.0,1149.0,1065.6,1077.8,1756194
2025-06-23,1065.6,1103.5,1043.3,1071.1,807285
2025-06-24,1080.0,1083.4,1046.1,1076.1,491922
2025-06-25,1080.9,1119.7,1075.0,1116.4,554130
2025-06-26,1118.0,1147.6,1113.0,1120.9,610623
2025-06-27,1125.0,1160.0,1110.2,1147.9,803531
2025-06-30,1147.1,1154.5,1116.0,1148.9,475062
2025-07-01,1148.8,1182.0,1130.5,1139.8,394123
2025-07-02,1146.5,1150.0,1128.6,1141.9,217860
2025-07-03,1137.2,1153.9,1135.0,1139.6,172231
2025-07-04,1144.0,1144.0,1112.0,1127.2,141438
2025-07-07,1130.0,1157.3,1118.9,1149.3,263783
2025-07-08,1150.0,1177.0,1142.2,1166.1,653426
2025-07-09,1166.1,1193.4,1165.0,1180.1,434555
2025-07-10,1184.9,1189.3,1141.0,1147.3,360323
2025-07-11,1148.9,1164.0,1137.7,1152.0,257374
2025-07-14,1149.5,1175.8,1130.1,1172.2,232085
2025-07-15,1170.5,1185.9,1164.3,1169.5,233329
2025-07-16,1169.5,1200.3,1169.5,1183.2,513575
2025-07-17,1186.2,1210.0,1173.2,1197.7,235853
2025-07-18,1194.9,1194.9,1166.4,1171.9,140193
2025-07-21,1171.9,1189.0,1157.2,1172.3,168474
2025-07-22,1172.0,1188.0,1162.9,1176.0,146693
2025-07-23,1176.0,1205.0,1174.0,1192.0,611159
2025-07-24,1199.9,1203.4,1128.0,1142.0,438686
2025-07-25,1108.7,1150.7,1016.0,1036.4,1619571
2025-07-28,1037.0,1090.0,1018.1,1050.5,847551
2025-07-29,1050.5,1058.0,1020.0,1038.8,350587
2025-07-30,1044.8,1067.0,1035.8,1058.2,376637
2025-07-31,1048.0,1048.0,1015.1,1022.6,193779
2025-08-01,1020.0,1029.9,978.3,981.9,405300
2025-08-04,975.0,1013.8,971.1,1007.9,421950
2025-08-05,1009.9,1009.9,970.0,972.8,342893
2025-08-06,970.0,982.6,932.0,945.1,414123
2025-08-07,940.0,954.7,922.8,947.0,337890
2025-08-08,953.0,963.0,927.6,936.1,157347
2025-08-11,922.2,946.3,909.7,939.4,236635
2025-08-12,939.4,953.4,921.6,932.0,356466
2025-08-13,932.0,942.9,913.5,922.8,256323
2025-08-14,927.0,942.9,917.0,928.2,196503
2025-08-18,931.9,944.3,928.5,939.0,183212
2025-08-19,935.5,938.9,901.1,906.5,479849
2025-08-20,906.4,995.4,905.0,987.7,2334053
2025-08-21,988.4,1001.3,957.6,960.7,415916
2025-08-22,968.2,982.8,954.3,967.9,312731
2025-08-25,965.3,1007.2,964.2,988.7,475074
2025-08-26,990.0,993.0,968.0,983.1,215196
2025-08-28,984.2,990.0,961.0,975.6,283068
2025-08-29,975.2,985.0,962.7,977.2,192817
2025-09-01,971.0,992.15,971.0,989.6,166511
2025-09-02,988.0,993.4,980.0,985.85,104913
2025-09-03,985.0,985.55,948.3,953.05,318020
2025-09-04,957.8,962.6,922.1,926.75,321563
2025-09-05,934.35,943.2,904.6,906.55,232269
2025-09-08,909.0,913.95,890.25,902.4,340465
2025-09-09,905.0,976.5,905.0,959.8,2206411
2025-09-10,954.0,1020.0,954.0,1015.65,1111187
2025-09-11,1014.05,1019.5,1000.95,1014.05,307020
2025-09-12,1013.0,1032.45,996.6,1021.95,396873
2025-09-15,1017.1,1028.5,1008.45,1026.25,127151
2025-09-16,1026.05,1045.0,1015.0,1039.15,264565
2025-09-17,1040.0,1061.3,1021.15,1027.05,393465
2025-09-18,1030.0,1060.0,1028.0,1040.05,382881
2025-09-19,1040.0,1072.4,1040.0,1061.15,488285
2025-09-22,1057.5,1104.0,1051.15,1072.2,740337
2025-09-23,1073.0,1078.35,1048.3,1062.65,290739
2025-09-24,1060.0,1060.0,1025.25,1029.05,160825
2025-09-25,1025.95,1078.0,1025.05,1059.35,921126
2025-09-26,1055.0,1055.0,980.2,986.15,519120
2025-09-29,984.0,991.2,951.7,957.4,424608
2025-09-30,966.2,985.05,962.8,974.6,230945
2025-10-01,974.6,981.65,942.05,976.2,330410
2025-10-03,984.85,995.35,967.6,986.1,99178
2025-10-06,990.0,993.55,976.05,981.5,86278
2025-10-07,989.05,990.15,970.5,982.15,132444
2025-10-08,990.35,999.25,971.95,974.75,129177
2025-10-09,977.95,978.05,964.0,974.95,77476
2025-10-10,980.0,1021.45,971.55,1008.15,332876
2025-10-13,1008.0,1008.0,981.1,984.75,153245
2025-10-14,977.0,994.6,933.0,957.5,207840
2025-10-15,960.95,1019.8,958.0,994.95,944797
2025-10-16,1002.9,1002.95,970.55,972.65,170393
2025-10-17,980.0,980.45,951.5,966.25,197216
2025-10-20,961.0,961.45,943.2,951.5,181602
2025-10-21,956.45,975.95,956.45,970.1,43296
2025-10-23,970.1,977.9,945.65,963.5,273505
2025-10-24,965.0,1008.0,950.5,997.95,401485
2025-10-27,972.0,1053.7,972.0,1044.75,777244
2025-10-28,1048.0,1048.0,1015.0,1024.1,237006
2025-10-29,1020.95,1046.0,1006.5,1028.9,283022
2025-10-30,1035.0,1063.9,1035.0,1046.75,374102
2025-10-31,1053.5,1144.5,1053.5,1133.5,5421616
2025-11-03,1128.9,1244.6,1126.1,1198.0,6604643
2025-11-04,1181.0,1204.1,1165.0,1197.6,723142
2025-11-06,1200.0,1208.4,1126.4,1133.2,915570
2025-11-07,1125.8,1146.7,1117.9,1132.7,445678
2025-11-10,1125.0,1139.0,1092.1,1099.1,517997
2025-11-11,1123.8,1123.9,1095.0,1098.9,437416
2025-11-12,1098.9,1168.0,1090.1,1148.0,1145529
2025-11-13,1148.0,1153.2,1106.6,1120.4,392976
2025-11-14,1108.2,1108.3,1083.3,1089.7,232872
2025-11-17,1094.4,1101.8,1084.8,1096.2,265652
2025-11-18,1097.3,1112.8,1072.4,1088.3,460925
2025-11-19,1112.8,1172.4,1100.0,1142.8,4203457
2025-11-20,1154.0,1154.0,1085.0,1097.5,917775
2025-11-21,1086.0,1098.7,1070.2,1091.3,314523
2025-11-24,1094.4,1110.8,1077.4,1096.3,394374
2025-11-25,1104.9,1104.9,1080.0,1088.8,169763
2025-11-26,1089.8,1109.4,1086.8,1098.8,292215
2025-11-27,1111.0,1119.0,1090.0,1096.4,264557
2025-11-28,1100.0,1118.0,1090.8,1112.5,284775
2025-12-01,1120.0,1146.5,1101.0,1107.8,348067
2025-12-02,1109.4,1114.6,1084.0,1096.4,228876
2025-12-03,1103.0,1125.8,1087.0,1097.4,311508
2025-12-04,1098.5,1115.8,1082.5,1089.7,240674
2025-12-05,1090.9,1091.9,1049.0,1056.1,260464
2025-12-08,1056.0,1059.3,1017.2,1022.6,297047
2025-12-09,1022.6,1044.0,1003.5,1039.3,240736
2025-12-10,1041.9,1048.8,1015.5,1018.7,119552
2025-12-11,1022.0,1043.6,1011.2,1038.1,127835
2025-12-12,1038.7,1039.0,1023.0,1030.0,93447
2025-12-15,1031.0,1035.0,1019.0,1030.4,150115
2025-12-16,1040.0,1059.0,1010.5,1021.6,464472
2025-12-17,1028.1,1029.5,1015.8,1022.8,102543
2025-12-18,1025.0,1032.0,1008.4,1024.3,91212
2025-12-19,1035.0,1064.3,1027.0,1053.6,295225
2025-12-22,1065.0,1069.0,1025.0,1027.7,325654
2025-12-23,1027.0,1030.0,1017.0,1021.0,92674
2025-12-24,1021.0,1024.9,1008.3,1010.2,90365
2025-12-26,1011.9,1018.0,989.1,991.4,110804
2025-12-29,999.9,1011.7,986.4,997.5,155153
2025-12-30,997.5,999.5,938.8,945.3,749815
2025-12-31,950.0,980.7,949.6,971.0,259598
2026-01-01,977.4,980.75,942.2,947.75,141317
2026-01-02,944.0,968.0,943.9,961.25,185822
2026-01-05,964.15,974.0,949.45,967.8,200888
2026-01-06,967.8,971.45,945.0,946.5,109584
2026-01-07,946.0,998.65,946.0,991.4,465740
2026-01-08,991.4,996.25,938.5,943.1,273846
2026-01-09,947.7,972.4,915.55,919.5,384707
2026-01-12,925.5,925.5,881.65,913.65,346561
2026-01-13,916.0,947.0,916.0,931.0,208188
2026-01-14,931.0,937.25,911.3,915.05,113240
2026-01-16,920.0,940.5,914.0,921.6,209729
2026-01-19,912.5,918.35,898.0,900.7,121081
2026-01-20,905.0,911.0,883.05,905.55,385058
2026-01-21,895.0,905.25,879.55,894.75,246162
2026-01-22,908.1,928.0,899.05,923.55,171485
2026-01-23,926.7,926.75,890.0,891.05,208090
2026-01-27,891.0,900.0,871.0,895.8,208961
2026-01-28,900.0,914.0,897.6,910.1,120072
2026-01-29,910.0,913.45,885.9,902.95,181276
2026-01-30,902.95,932.1,900.1,913.7,272591
2026-02-01,832.3,907.85,785.0,885.0,1371465
2026-02-02,869.1,870.0,808.0,828.1,1184840
2026-02-03,860.0,877.9,795.7,816.45,1471414
2026-02-04,813.05,813.05,791.7,798.7,514768
2026-02-05,795.5,796.0,763.7,774.1,426249
2026-02-06,774.0,774.05,754.8,760.4,376991
2026-02-09,770.0,779.5,760.05,771.7,331295
2026-02-10,771.7,787.95,758.5,760.55,334583
2026-02-11,763.0,773.0,740.3,746.5,429428
2026-02-12,746.0,746.0,698.25,711.2,1117943
