date,open,high,low,close,volume
2025-03-24,667.95,668.8,657.4,658.45,1878198
2025-03-25,663.9,663.9,648.1,653.0,988124
2025-03-26,652.0,656.85,644.0,652.4,1570129
2025-03-27,650.0,663.75,649.95,656.4,3398420
2025-03-28,656.65,660.4,624.0,636.25,4421109
2025-04-01,621.3,641.8,621.3,634.75,1451347
2025-04-02,631.9,656.1,630.85,654.45,1932828
2025-04-03,642.8,653.7,636.05,651.25,2635192
2025-04-04,649.5,655.4,631.15,637.7,2529542
2025-04-07,595.0,624.1,588.85,614.45,2010970
2025-04-08,619.0,628.1,610.1,614.5,1696619
2025-04-09,614.0,615.8,601.2,614.25,1911793
2025-04-11,622.0,645.55,620.1,638.85,2007695
2025-04-15,649.0,661.9,638.85,658.0,2242497
2025-04-16,660.0,665.4,654.55,659.65,2228299
2025-04-17,659.65,664.95,650.75,656.2,1595004
2025-04-21,656.25,672.9,653.7,671.15,3468794
2025-04-22,673.45,681.15,666.1,672.7,3727936
2025-04-23,672.0,682.0,662.05,679.9,2856974
2025-04-24,679.55,687.0,675.45,684.2,2692652
2025-04-25,683.75,692.2,656.55,661.85,3157081
2025-04-28,662.0,679.4,661.35,678.3,1423133
2025-04-29,680.0,686.9,666.7,669.6,1676069
2025-04-30,668.1,678.15,663.95,669.9,1402279
2025-05-02,671.0,692.8,670.55,680.8,2812460
2025-05-05,687.0,688.95,682.0,686.5,1475543
2025-05-06,687.95,691.45,674.95,679.05,1859488
2025-05-07,675.1,689.0,674.3,688.0,1328953
2025-05-08,682.1,689.4,645.95,656.5,2451225
2025-05-09,638.0,682.0,638.0,674.75,3184067
2025-05-12,686.0,699.45,662.0,676.85,8755697
2025-05-13,676.9,678.0,638.05,642.85,8899680
2025-05-14,645.3,646.15,634.0,636.9,4545306
2025-05-15,637.95,647.7,635.75,644.65,2336733
2025-05-16,646.0,648.5,638.75,644.2,1281048
2025-05-19,645.1,654.8,643.75,645.5,1713111
2025-05-20,647.5,647.95,626.7,628.7,3503829
2025-05-21,628.7,641.05,623.6,638.4,2454859
2025-05-22,638.9,638.9,627.8,631.95,1078155
2025-05-23,632.6,634.9,628.25,630.5,1018062
2025-05-26,632.0,636.2,629.9,632.05,771488
2025-05-27,632.5,635.9,627.0,630.35,1156383
2025-05-28,631.45,638.6,629.55,630.75,937885
2025-05-29,632.0,635.0,626.0,631.0,1382432
2025-05-30,631.0,633.95,618.0,627.9,5123450
2025-06-02,627.9,637.5,620.75,636.35,1624690
2025-06-03,638.0,638.35,632.3,635.35,1764731
2025-06-04,635.5,646.35,633.55,642.55,1302307
2025-06-05,646.8,649.5,642.0,646.9,1701494
2025-06-06,649.0,649.8,641.0,642.85,580732
2025-06-09,650.0,651.55,636.6,639.1,1514278
2025-06-10,643.95,643.95,638.0,639.6,956125
2025-06-11,641.0,641.4,631.5,635.85,976204
2025-06-12,635.85,642.0,631.0,632.4,1097714
2025-06-13,627.8,637.95,623.05,632.5,1518780
2025-06-16,631.95,645.3,630.0,643.75,1187428
2025-06-17,645.0,653.35,642.5,646.1,2269496
2025-06-18,646.1,649.8,637.0,638.25,1066778
2025-06-19,639.0,640.0,629.0,630.95,1272286
2025-06-20,628.4,637.4,626.35,633.5,4218765
2025-06-23,631.0,641.45,628.8,638.85,834251
2025-06-24,641.0,646.0,638.5,644.45,1131402
2025-06-25,648.0,654.3,643.8,650.7,1565175
2025-06-26,650.7,650.7,629.05,636.5,3968851
2025-06-27,638.0,647.45,637.55,644.9,3212791
2025-06-30,646.5,664.5,643.7,661.25,2075636
2025-07-01,665.0,674.95,659.15,671.05,3182249
2025-07-02,671.05,676.0,665.2,672.65,1348689
2025-07-03,672.65,687.75,670.1,684.15,3054421
2025-07-04,684.0,696.95,678.7,681.3,2791223
2025-07-07,681.05,689.5,676.35,680.25,960264
2025-07-08,680.5,683.9,668.6,673.3,820969
2025-07-09,668.6,674.8,663.7,664.75,630384
2025-07-10,666.0,668.15,655.5,661.65,2206322
2025-07-11,657.7,658.5,645.7,652.8,2145893
2025-07-14,654.0,661.8,646.75,659.5,1745640
2025-07-15,662.0,675.8,661.95,673.8,1726609
2025-07-16,673.0,677.0,668.4,671.45,1928069
2025-07-17,673.0,697.45,670.55,692.65,5685069
2025-07-18,694.0,697.9,684.35,686.85,1515065
