date,open,high,low,close,volume
2025-03-24,325.0,333.15,324.1,326.65,684547
2025-03-25,330.0,330.0,315.0,317.55,506349
2025-03-26,319.1,321.45,312.95,315.6,589554
2025-03-27,315.6,320.9,312.05,318.85,1233636
2025-03-28,319.0,323.65,294.75,306.2,2786143
2025-04-01,300.4,307.4,300.4,305.75,378850
2025-04-02,306.0,316.5,302.05,314.1,439754
2025-04-03,313.95,317.1,309.6,315.0,364603
2025-04-04,317.0,317.3,307.0,309.75,1285674
2025-04-07,279.0,308.05,279.0,306.15,905387
2025-04-08,313.9,314.5,305.15,313.2,240261
2025-04-09,311.7,314.2,309.6,312.75,101794
2025-04-11,322.0,322.0,312.0,319.05,258596
2025-04-15,321.35,331.25,287.55,309.3,6712121
2025-04-16,310.0,315.45,307.2,310.65,726897
2025-04-17,316.15,322.6,311.6,320.05,568077
2025-04-21,321.0,328.6,315.85,325.3,382889
2025-04-22,328.0,332.25,322.2,330.1,381369
2025-04-23,339.9,339.9,326.05,333.1,445473
2025-04-24,333.05,335.7,324.55,325.7,258273
2025-04-25,327.0,328.55,314.8,321.15,496528
2025-04-28,318.75,321.0,312.55,318.05,653291
2025-04-29,323.0,324.5,313.75,315.05,199996
2025-04-30,318.0,318.0,305.9,307.25,322134
2025-05-02,308.0,311.3,302.1,305.5,275658
2025-05-05,308.0,319.0,306.0,316.35,201827
2025-05-06,316.0,318.0,306.9,307.7,440358
2025-05-07,308.0,324.65,307.0,323.7,645307
2025-05-08,321.3,329.0,313.0,318.1,268561
2025-05-09,307.0,334.15,306.5,329.05,1052538
2025-05-12,335.0,355.0,332.85,352.1,931078
2025-05-13,352.1,382.75,351.5,380.9,2036902
2025-05-14,383.9,397.1,374.75,393.1,1177112
2025-05-15,397.0,411.6,393.2,409.4,1446934
2025-05-16,417.5,428.65,388.95,389.95,1665394
2025-05-19,389.0,399.6,376.3,392.55,862945
2025-05-20,392.7,412.0,392.7,400.45,1184538
2025-05-21,400.0,402.0,390.25,392.85,418970
2025-05-22,391.85,404.95,391.55,399.75,554728
2025-05-23,399.0,399.0,392.7,395.35,345747
2025-05-26,395.0,403.0,394.05,398.0,436560
2025-05-27,398.45,412.0,396.05,405.1,596281
2025-05-28,407.0,408.95,393.7,396.0,258289
2025-05-29,397.25,401.9,391.65,394.05,210073
2025-05-30,396.0,400.35,393.55,399.7,221386
2025-06-02,400.0,405.0,394.55,398.1,180974
2025-06-03,399.5,400.0,392.95,393.85,196415
2025-06-04,400.0,410.25,390.0,404.0,788422
2025-06-05,406.25,424.2,400.8,423.7,1330921
2025-06-06,429.95,433.3,418.5,428.45,1059718
2025-06-09,436.1,438.7,427.7,429.85,619234
2025-06-10,430.3,454.8,427.05,444.55,1453737
2025-06-11,436.0,441.0,417.0,424.35,1564679
2025-06-12,426.2,432.0,411.3,415.45,729175
2025-06-13,410.0,429.0,407.2,423.35,644246
2025-06-16,423.35,437.65,418.65,434.0,682170
2025-06-17,435.4,442.0,431.7,434.25,558919
2025-06-18,436.4,439.7,425.05,426.95,406080
2025-06-19,428.95,432.2,413.35,415.2,335410
2025-06-20,415.2,425.7,415.15,422.65,372841
2025-06-23,421.95,432.0,421.0,430.7,410898
2025-06-24,430.6,436.55,426.55,428.65,329608
2025-06-25,428.65,436.75,428.35,432.45,293284
2025-06-26,437.0,443.0,421.8,435.25,501072
2025-06-27,434.7,435.6,423.75,425.0,220314
2025-06-30,427.0,433.0,423.0,430.95,266594
2025-07-01,435.0,440.7,424.7,429.4,351864
2025-07-02,429.4,429.85,419.0,424.35,257714
2025-07-03,423.95,427.15,420.0,424.05,256686
2025-07-04,422.0,435.95,422.0,432.9,580334
2025-07-07,436.0,448.0,430.1,434.5,634221
2025-07-08,434.5,453.9,434.4,442.7,706221
2025-07-09,442.7,452.95,439.1,440.65,503450
2025-07-10,440.65,447.8,438.9,443.4,301034
2025-07-11,442.75,449.8,436.6,447.25,386955
2025-07-14,451.0,491.95,445.05,486.45,1955511
2025-07-15,488.8,505.9,481.25,491.45,1515037
2025-07-16,491.45,499.4,486.95,492.15,693867
2025-07-17,496.0,499.0,488.4,496.95,467350
2025-07-18,497.35,497.35,474.0,479.5,514553
2025-07-21,477.05,483.8,468.35,471.5,268447
2025-07-22,472.95,485.0,470.75,482.4,471083
2025-07-23,486.0,486.05,471.95,473.7,190332
2025-07-24,476.0,478.85,468.6,470.7,160999
2025-07-25,472.5,474.65,457.15,459.75,394597
2025-07-28,460.8,482.45,457.65,477.45,546431
2025-07-29,475.25,491.5,472.3,487.7,545965
2025-07-30,500.0,512.0,490.0,493.9,2221521
2025-07-31,485.0,522.5,482.0,515.05,1521105
2025-08-01,516.0,531.9,504.0,510.75,648280
2025-08-04,513.05,530.85,508.25,528.9,674680
2025-08-05,534.8,539.8,506.7,509.4,913167
2025-08-06,510.7,511.0,491.6,496.8,420815
2025-08-07,495.0,511.0,486.35,504.25,436514
2025-08-08,504.0,505.9,492.4,496.4,252531
2025-08-11,495.0,501.8,485.7,488.7,233361
2025-08-12,488.7,498.0,488.65,493.8,155956
2025-08-13,494.45,496.95,487.75,494.1,123318
2025-08-14,496.1,502.9,488.4,491.7,143305
2025-08-18,492.0,506.0,490.5,497.0,337567
2025-08-19,499.5,529.95,497.6,527.3,1126261
2025-08-20,533.0,539.35,520.05,522.4,522909
2025-08-21,534.95,534.95,521.85,524.85,287543
2025-08-22,522.0,533.0,517.8,522.1,294326
2025-08-25,524.3,525.4,510.0,511.95,189065
2025-08-26,514.5,519.7,505.65,509.85,422382
2025-08-28,510.9,514.5,498.1,501.35,188951
2025-08-29,502.95,515.0,502.95,505.4,247955
2025-09-01,508.9,523.5,502.3,516.95,431587
2025-09-02,519.7,520.95,504.3,507.4,225680
2025-09-03,509.6,513.2,491.1,492.85,391366
2025-09-04,496.0,503.3,492.6,494.0,285289
2025-09-05,495.7,502.6,491.25,500.65,159359
2025-09-08,501.1,515.6,496.7,510.2,302977
2025-09-09,512.4,512.65,503.75,506.5,148525
2025-09-10,511.55,515.1,505.1,508.35,171485
2025-09-11,508.0,532.0,507.95,529.15,937668
