date,open,high,low,close,volume
2025-03-24,928.7,934.95,912.1,921.25,1261491
2025-03-25,927.1,941.8,905.4,910.05,2023075
2025-03-26,915.0,918.65,891.0,898.2,886027
2025-03-27,896.05,961.3,883.3,948.6,2075003
2025-03-28,948.95,952.4,930.25,937.95,1075416
2025-04-01,924.0,935.65,908.0,910.0,579415
2025-04-02,895.0,896.35,883.35,889.8,738005
2025-04-03,880.0,905.85,877.35,894.4,513686
2025-04-04,890.0,896.0,840.0,879.25,1554324
2025-04-07,776.0,864.0,774.05,843.15,1040472
2025-04-08,873.15,879.75,842.55,847.55,705939
2025-04-09,849.0,864.0,827.6,854.15,941301
2025-04-11,875.0,895.0,867.6,892.95,813505
2025-04-15,905.0,932.0,901.15,929.15,1326160
2025-04-16,929.0,945.1,913.55,940.75,1105970
2025-04-17,940.0,974.85,936.8,967.25,1554139
2025-04-21,974.0,1014.5,963.85,1009.4,1509969
2025-04-22,1036.85,1090.0,1015.0,1026.9,6168704
2025-04-23,1060.0,1097.7,1026.9,1068.7,6480548
2025-04-24,1067.0,1067.0,1034.05,1037.25,1289073
2025-04-25,1035.0,1057.4,982.0,989.35,2037791
2025-04-28,989.65,1017.0,969.7,1008.85,1124722
2025-04-29,1015.2,1024.0,998.65,1002.05,709485
2025-04-30,1005.9,1009.35,970.8,982.0,739967
2025-05-02,977.7,1007.0,967.0,999.3,744710
2025-05-05,999.7,1019.0,985.05,990.0,892806
2025-05-06,991.0,997.05,940.0,950.75,830976
2025-05-07,925.0,968.95,924.1,954.7,899946
2025-05-08,958.1,984.0,940.0,944.7,1060110
2025-05-09,922.0,954.0,917.05,945.65,765949
2025-05-12,990.0,998.5,979.0,990.55,623227
2025-05-13,990.0,1025.0,985.3,1019.55,878350
2025-05-14,1027.4,1036.0,1009.15,1019.9,1098889
2025-05-15,1025.0,1040.0,1007.0,1035.7,1141349
2025-05-16,1047.0,1135.0,1040.55,1125.95,4261946
2025-05-19,1135.0,1163.9,1081.0,1090.1,4233448
2025-05-20,1107.4,1111.0,1048.1,1068.0,1753110
2025-05-21,1068.0,1092.0,1048.0,1083.1,1229670
2025-05-22,1082.0,1094.7,1066.0,1083.5,808378
2025-05-23,1050.0,1078.0,1022.0,1062.25,2141228
2025-05-26,1062.0,1065.3,1040.0,1043.7,594346
2025-05-27,1043.0,1056.0,1035.0,1037.2,404588
2025-05-28,1046.0,1064.0,1036.15,1040.45,541962
2025-05-29,1049.65,1090.9,1045.0,1063.85,1375983
2025-05-30,1074.0,1085.1,1053.55,1061.6,609091
2025-06-02,1063.9,1085.0,1046.0,1077.3,1153034
2025-06-03,1082.0,1098.0,1063.0,1082.7,844740
2025-06-04,1080.0,1091.9,1052.0,1058.0,1494012
2025-06-05,1060.0,1070.0,1046.2,1048.9,504032
2025-06-06,1051.0,1066.0,1050.5,1053.7,596606
2025-06-09,1060.1,1083.9,1053.6,1062.2,3899155
2025-06-10,1093.0,1119.8,1076.1,1084.4,7194948
2025-06-11,1086.0,1099.0,1053.5,1058.0,4353608
2025-06-12,1058.0,1060.0,1018.2,1024.2,3829757
2025-06-13,1001.0,1039.4,990.2,1011.9,5390732
2025-06-16,1011.9,1038.3,990.2,1031.1,2166409
2025-06-17,1030.0,1032.7,1001.2,1005.1,1358617
2025-06-18,1003.0,1020.4,985.1,1000.3,1587234
2025-06-19,1000.0,1004.9,958.1,968.0,1753884
