date,open,high,low,close,volume
2025-03-24,549.8,558.05,536.0,539.65,2721699
2025-03-25,545.0,546.25,515.0,522.55,2105346
2025-03-26,521.95,526.85,496.65,498.25,2373823
2025-03-27,500.0,515.2,487.0,509.85,2503230
2025-03-28,509.2,514.0,486.0,491.6,1786809
2025-04-01,486.65,492.95,475.25,477.35,991467
2025-04-02,480.0,493.6,467.3,486.6,1952257
2025-04-03,478.0,493.3,477.3,484.35,1263225
2025-04-04,483.85,485.5,449.15,456.5,1890634
2025-04-07,376.15,427.4,376.15,416.6,2960128
2025-04-08,439.95,440.85,422.0,435.15,1504794
2025-04-09,433.25,433.4,412.6,415.4,1347287
2025-04-11,443.0,446.55,427.05,439.2,2491644
2025-04-15,450.0,481.8,447.0,476.45,7384243
2025-04-16,478.5,482.9,466.7,470.0,1737447
2025-04-17,469.2,475.65,463.5,471.85,1517550
2025-04-21,475.4,507.35,464.8,493.6,6998235
2025-04-22,519.8,525.0,503.0,505.7,10477936
2025-04-23,510.0,511.0,490.0,497.1,2550580
2025-04-24,497.0,498.55,485.05,488.1,1808287
2025-04-25,488.1,489.9,455.8,458.6,2979548
2025-04-28,459.0,466.0,449.6,452.5,2117975
2025-04-29,456.6,475.5,455.2,465.95,2586105
2025-04-30,466.0,466.95,450.0,451.9,1474696
2025-05-02,452.0,461.7,446.4,450.4,992922
2025-05-05,453.75,464.4,449.2,461.25,1174746
2025-05-06,462.0,466.5,440.3,443.0,1287206
2025-05-07,431.0,455.5,430.3,448.95,1328210
2025-05-08,448.0,455.4,431.5,438.25,1342971
2025-05-09,419.0,432.0,414.05,428.75,3124290
2025-05-12,455.0,457.95,447.1,451.1,2379682
2025-05-13,452.0,473.8,451.85,460.05,2826345
2025-05-14,463.4,464.5,455.5,459.4,1472693
2025-05-15,461.9,475.9,457.6,473.6,2334968
2025-05-16,478.0,517.1,477.5,514.1,7792295
2025-05-19,519.65,529.8,506.95,520.4,3030551
2025-05-20,522.95,525.75,503.6,508.15,2011260
2025-05-21,507.75,519.9,499.05,515.55,2003912
2025-05-22,514.5,527.0,509.45,519.85,2067764
2025-05-23,520.0,520.0,510.0,512.5,1002532
2025-05-26,515.0,527.0,510.8,522.25,1958362
2025-05-27,523.15,531.8,519.75,521.05,1701571
2025-05-28,522.0,525.7,513.4,516.7,1432911
2025-05-29,521.0,550.4,517.4,544.85,6566528
2025-05-30,550.0,569.0,546.0,561.2,6359926
2025-06-02,565.2,585.9,535.45,579.9,6400242
2025-06-03,585.0,595.5,577.55,581.15,4510521
2025-06-04,582.0,582.75,562.15,570.9,2157470
2025-06-05,572.0,583.25,568.5,570.55,1636431
2025-06-06,571.0,586.0,568.3,575.8,2586010
2025-06-09,580.95,604.2,574.0,585.8,3127357
2025-06-10,590.0,594.3,574.1,577.25,1742671
2025-06-11,578.7,584.4,568.1,573.95,1775229
2025-06-12,574.0,579.0,547.9,556.75,1551005
2025-06-13,503.55,551.55,503.55,544.75,3141898
2025-06-16,545.45,556.0,527.15,552.55,2084197
2025-06-17,552.55,558.8,531.0,534.2,1702135
2025-06-18,534.3,545.5,523.4,527.4,1651478
2025-06-19,529.0,534.95,512.35,515.05,1945436
2025-06-20,515.1,526.95,507.45,511.95,2985302
2025-06-23,510.0,524.4,505.8,518.8,2035064
2025-06-24,530.0,548.0,529.05,539.8,3708422
2025-06-25,545.0,569.9,541.4,566.25,3421846
2025-06-26,571.0,579.0,563.0,564.25,2560319
2025-06-27,567.0,571.0,552.1,554.0,1808175
2025-06-30,556.0,574.8,554.35,566.45,2327868
2025-07-01,570.0,580.8,563.05,564.95,2052555
2025-07-02,566.0,566.45,550.0,553.55,1184591
2025-07-03,554.0,554.5,543.6,545.3,1176210
2025-07-04,545.3,548.9,538.9,546.95,881328
2025-07-07,545.0,551.0,542.05,543.75,571984
2025-07-08,543.6,552.4,533.75,550.4,1366962
2025-07-09,552.0,554.7,546.1,547.7,800443
2025-07-10,549.0,563.5,548.5,554.4,2092244
2025-07-11,558.0,579.0,553.45,561.3,3082505
2025-07-14,562.0,574.75,551.2,571.5,2239125
2025-07-15,573.7,616.5,569.15,607.2,13950965
2025-07-16,610.0,620.0,600.0,606.1,4827734
2025-07-17,609.0,613.95,599.3,601.4,1870937
2025-07-18,602.95,603.0,587.05,589.2,1719729
2025-07-21,590.5,592.35,581.0,582.95,2227805
2025-07-22,585.2,595.55,567.0,569.8,2158079
2025-07-23,573.0,573.0,558.05,562.75,1964178
2025-07-24,564.9,569.5,557.75,562.35,1470646
2025-07-25,582.0,606.5,570.15,573.45,14715797
2025-07-28,575.2,581.95,560.0,563.1,2431027
2025-07-29,560.0,581.0,547.4,578.4,2468347
2025-07-30,580.9,587.8,573.0,579.8,1741746
2025-07-31,568.0,577.7,557.1,564.6,1722601
2025-08-01,562.9,572.0,561.15,563.85,1134453
2025-08-04,565.95,568.4,558.0,562.45,1117957
2025-08-05,564.4,573.6,557.0,559.55,1774301
2025-08-06,560.15,568.5,540.15,543.2,1661672
2025-08-07,540.0,550.0,534.0,546.6,1234117
2025-08-08,547.0,549.45,531.4,533.95,817938
2025-08-11,535.0,542.0,526.5,538.75,1126606
2025-08-12,539.6,544.0,535.2,536.45,527929
2025-08-13,539.65,544.0,536.0,536.95,678290
2025-08-14,537.75,541.95,533.0,535.75,655134
2025-08-18,546.0,548.7,540.0,543.4,801324
2025-08-19,544.7,547.65,541.5,542.25,716951
2025-08-20,542.3,545.65,537.3,538.45,575998
2025-08-21,539.4,559.85,539.4,552.75,2050387
2025-08-22,555.9,556.6,545.6,547.1,906361
2025-08-25,549.55,551.9,537.0,539.05,643888
2025-08-26,537.0,539.7,530.0,531.75,606054
2025-08-28,529.9,532.3,515.8,517.6,818615
2025-08-29,518.0,524.9,511.3,516.35,809376
2025-09-01,518.4,527.0,515.55,521.15,710256
2025-09-02,523.0,540.6,520.5,538.2,1073790
2025-09-03,540.0,547.75,536.0,544.0,832465
2025-09-04,548.0,548.0,531.85,533.85,694291
2025-09-05,533.5,542.6,526.15,535.25,657580
2025-09-08,537.4,542.0,527.25,528.35,613277
2025-09-09,530.8,530.8,517.3,518.65,830701
2025-09-10,520.5,539.2,520.5,532.85,1168470
2025-09-11,534.6,536.9,525.0,528.8,679251
2025-09-12,528.8,539.0,527.9,533.3,858610
2025-09-15,536.05,604.0,536.05,589.45,34625724
2025-09-16,591.95,609.9,579.1,595.15,16525557
2025-09-17,599.0,602.55,584.1,586.95,2467905
2025-09-18,588.0,597.95,583.25,585.5,2189706
2025-09-19,586.1,647.8,580.15,640.4,23024363
2025-09-22,644.4,688.7,643.5,677.6,26143356
2025-09-23,678.95,684.0,662.7,666.2,5072389
2025-09-24,665.0,708.8,657.7,677.1,24359780
2025-09-25,677.0,684.95,667.15,677.8,5096720
2025-09-26,679.25,702.5,666.2,679.7,14805383
2025-09-29,696.0,719.9,685.5,699.15,17400528
2025-09-30,706.0,714.0,691.35,698.15,6086696
2025-10-01,698.0,707.65,684.2,699.05,3973896
2025-10-03,701.0,731.7,699.25,719.8,11266163
2025-10-06,721.0,722.4,695.35,705.0,5342939
2025-10-07,700.0,743.65,697.1,735.6,9564387
2025-10-08,720.0,720.0,696.0,699.95,8326793
2025-10-09,701.0,713.25,686.35,698.35,5775140
2025-10-10,700.5,704.55,687.2,694.2,4515600
2025-10-13,691.45,700.0,680.0,685.55,3114171
2025-10-14,689.5,689.55,654.0,657.4,3737050
2025-10-15,662.0,680.25,658.35,662.55,5519034
2025-10-16,663.0,663.0,630.0,633.35,7792565
2025-10-17,635.6,642.25,619.0,621.0,7822710
2025-10-20,625.0,638.55,619.0,636.0,4171994
2025-10-21,640.0,645.8,639.55,644.05,1178713
2025-10-23,647.1,647.9,626.0,627.4,2680588
2025-10-24,628.0,631.9,615.65,617.45,2371265
2025-10-27,618.0,635.0,615.05,630.75,2807467
2025-10-28,633.0,633.0,621.05,624.8,1481217
2025-10-29,627.5,640.8,623.4,635.6,2611765
2025-10-30,635.8,653.1,633.2,643.25,4226463
2025-10-31,643.7,654.0,640.5,644.4,2188499
2025-11-03,644.0,652.95,634.45,650.2,1854621
2025-11-04,651.0,657.25,642.5,645.45,1743841
2025-11-06,645.4,645.4,621.5,623.3,1697604
2025-11-07,617.0,623.3,601.65,619.85,3044621
2025-11-10,635.1,643.4,624.05,627.65,3662394
2025-11-11,629.5,629.5,611.8,614.85,1764600
2025-11-12,616.0,625.5,614.3,620.0,1328106
2025-11-13,620.0,624.4,611.25,615.4,1346526
2025-11-14,613.85,626.65,611.3,616.1,1504973
2025-11-17,626.7,642.95,626.6,633.4,4483128
2025-11-18,633.7,634.5,620.0,621.25,1204700
2025-11-19,621.0,621.0,613.4,617.55,999938
2025-11-20,620.25,628.55,617.45,618.8,1159562
2025-11-21,614.7,617.65,608.2,610.45,960048
2025-11-24,611.7,616.8,566.35,570.75,3023350
2025-11-25,574.85,596.75,571.6,594.4,3526422
2025-11-26,594.35,615.0,590.05,605.1,6960205
2025-11-27,609.0,609.0,585.0,587.55,1907837
2025-11-28,587.0,587.0,574.0,576.45,1604637
2025-12-01,579.1,583.5,570.9,572.7,1384284
2025-12-02,571.5,571.5,554.0,555.7,1694727
2025-12-03,556.0,566.8,547.15,553.35,1646548
2025-12-04,553.0,553.0,539.5,540.35,1358590
2025-12-05,540.75,544.75,525.0,526.3,1984423
2025-12-08,526.7,532.0,498.1,503.15,3342660
2025-12-09,503.1,513.95,484.0,504.65,4915480
2025-12-10,507.0,525.5,502.0,508.9,4678893
2025-12-11,510.35,517.8,502.65,504.9,2736690
2025-12-12,507.4,556.55,506.25,550.45,18532409
2025-12-15,546.0,557.0,540.0,550.55,4713751
2025-12-16,547.0,547.5,536.25,539.25,1363555
2025-12-17,538.1,545.3,523.35,525.45,1744306
2025-12-18,524.1,534.9,517.55,531.6,1579485
2025-12-19,533.0,556.1,530.15,551.6,3779244
2025-12-22,554.8,564.0,550.4,561.3,1536309
2025-12-23,562.4,564.6,551.6,558.25,1099872
2025-12-24,557.1,573.9,555.0,566.8,1880938
2025-12-26,565.0,565.0,551.6,554.65,1343631
2025-12-29,554.5,556.6,532.85,535.6,1585830
2025-12-30,537.0,548.4,524.0,544.3,1917005
2025-12-31,546.0,558.7,540.2,547.3,1726877
2026-01-01,547.95,556.2,546.35,552.5,759230
2026-01-02,552.5,588.0,552.0,584.05,5453591
2026-01-05,587.0,598.65,581.1,588.05,3207511
2026-01-06,588.0,593.25,580.1,585.2,1523635
2026-01-07,582.05,595.2,576.6,591.55,1382276
2026-01-08,586.0,608.4,567.1,571.1,4682045
2026-01-09,567.0,575.45,547.0,551.1,2224233
2026-01-12,545.0,572.0,533.0,568.45,3239215
2026-01-13,570.0,576.5,556.1,566.55,1590845
2026-01-14,565.95,567.9,548.15,552.0,1062194
2026-01-16,552.5,567.85,547.0,551.55,1969499
