date,open,high,low,close,volume
2025-03-24,1225.0,1236.0,1202.5,1211.85,293579
2025-03-25,1230.0,1230.0,1179.6,1195.7,368934
2025-03-26,1193.1,1200.65,1173.85,1196.65,202505
2025-03-27,1188.95,1233.85,1171.35,1223.65,378982
2025-03-28,1229.9,1243.05,1196.4,1205.6,294006
2025-04-01,1199.0,1214.0,1180.25,1198.2,144455
2025-04-02,1198.3,1215.85,1178.6,1210.45,51975
2025-04-03,1195.0,1215.0,1182.0,1185.4,87152
2025-04-04,1180.2,1189.95,1106.0,1115.2,98862
2025-04-07,1050.05,1064.45,996.0,1039.1,303773
2025-04-08,1059.9,1074.7,1031.4,1071.3,109310
2025-04-09,1065.5,1078.9,1040.55,1050.45,198004
2025-04-11,1051.05,1094.7,1038.7,1073.9,526228
2025-04-15,1098.5,1114.8,1075.4,1096.1,133071
2025-04-16,1105.9,1110.6,1070.1,1074.4,141496
2025-04-17,1070.0,1074.0,1038.7,1046.2,249254
2025-04-21,1064.2,1134.5,1046.8,1100.2,817300
2025-04-22,1094.2,1101.1,1066.0,1072.2,184488
2025-04-23,1070.5,1086.1,1055.1,1075.3,231420
2025-04-24,1069.4,1089.0,1045.0,1049.4,199547
2025-04-25,1045.0,1062.5,1003.5,1023.5,217878
2025-04-28,1005.0,1026.6,1000.5,1013.5,523289
2025-04-29,1010.0,1143.8,1007.9,1130.0,1975584
2025-04-30,1119.8,1138.5,1098.1,1123.3,311872
2025-05-02,1112.0,1124.3,1067.5,1079.4,245716
2025-05-05,1088.0,1120.9,1069.6,1086.8,101814
2025-05-06,1086.8,1088.1,1062.0,1065.4,367288
2025-05-07,1060.5,1122.7,1054.1,1117.3,162874
2025-05-08,1128.0,1208.0,1121.2,1147.0,595221
2025-05-09,1036.4,1187.2,1036.4,1169.5,363918
2025-05-12,1218.0,1218.0,1169.5,1203.9,120082
2025-05-13,1200.5,1210.3,1172.2,1180.5,55489
2025-05-14,1180.5,1217.4,1180.5,1192.4,83936
2025-05-15,1199.9,1210.0,1185.5,1207.0,70382
2025-05-16,1228.9,1246.5,1210.2,1237.6,143858
2025-05-19,1249.9,1266.0,1208.0,1214.1,124784
2025-05-20,1223.8,1223.8,1162.2,1165.8,113719
2025-05-21,1177.5,1240.7,1168.1,1232.4,191989
2025-05-22,1246.0,1246.0,1190.2,1199.0,89243
2025-05-23,1207.2,1376.0,1202.5,1320.9,4672352
2025-05-26,1319.0,1340.0,1299.1,1306.7,315966
2025-05-27,1307.0,1323.5,1274.6,1289.5,176112
2025-05-28,1295.5,1327.5,1285.4,1303.8,149270
2025-05-29,1300.1,1325.9,1290.1,1300.9,83810
2025-05-30,1312.5,1335.0,1291.5,1304.7,458224
2025-06-02,1304.6,1323.8,1276.8,1294.1,158224
2025-06-03,1307.2,1307.2,1269.5,1290.4,125816
2025-06-04,1297.6,1387.0,1288.8,1363.9,688038
2025-06-05,1374.7,1377.9,1320.0,1329.1,122223
2025-06-06,1326.0,1345.0,1318.4,1325.3,77135
2025-06-09,1339.4,1343.9,1310.1,1322.5,75047
2025-06-10,1331.7,1408.3,1320.6,1342.2,581189
2025-06-11,1347.0,1356.2,1315.6,1339.9,81242
2025-06-12,1339.0,1346.0,1288.0,1301.7,87671
2025-06-13,1289.9,1319.8,1270.1,1286.9,88744
2025-06-16,1292.0,1301.9,1274.3,1288.9,29964
2025-06-17,1285.0,1302.0,1272.1,1284.8,63743
2025-06-18,1284.8,1295.0,1248.1,1261.3,75560
2025-06-19,1261.0,1279.9,1252.0,1259.3,96999
2025-06-20,1259.0,1277.0,1246.2,1260.7,72307
2025-06-23,1260.7,1267.9,1246.9,1254.8,49675
2025-06-24,1274.0,1280.0,1255.0,1273.0,75565
2025-06-25,1293.0,1310.0,1272.1,1301.2,84622
2025-06-26,1314.0,1329.0,1294.2,1322.0,65503
2025-06-27,1333.0,1402.0,1318.7,1392.1,201973
2025-06-30,1408.0,1508.0,1386.2,1399.7,1271914
2025-07-01,1399.0,1454.0,1375.4,1447.6,314231
2025-07-02,1457.9,1457.9,1422.2,1443.2,92852
2025-07-03,1443.2,1444.9,1400.0,1415.5,188505
2025-07-04,1425.5,1439.8,1415.3,1425.3,133954
2025-07-07,1435.0,1441.2,1382.7,1390.3,148997
2025-07-08,1390.3,1392.3,1355.0,1361.3,60363
2025-07-09,1370.1,1408.0,1332.0,1339.7,158587
2025-07-10,1349.9,1358.8,1314.9,1342.6,112940
2025-07-11,1350.0,1370.3,1315.0,1325.3,84646
2025-07-14,1320.0,1359.8,1310.9,1347.4,184462
