date,open,high,low,close,volume
2025-03-24,500.95,507.2,499.95,503.0,388791
2025-03-25,507.0,510.1,497.75,501.95,224615
2025-03-26,502.5,503.85,487.05,491.8,511807
2025-03-27,493.0,496.95,484.7,487.5,345689
2025-03-28,492.5,503.75,489.8,501.85,491011
2025-04-01,501.5,510.7,494.15,508.65,425121
2025-04-02,511.8,514.0,507.1,512.25,370419
2025-04-03,510.0,520.4,505.0,518.7,443090
2025-04-04,518.7,521.4,508.25,513.7,260980
2025-04-07,485.0,500.25,476.5,483.95,292337
2025-04-08,503.45,507.6,494.5,503.15,455660
2025-04-09,505.0,506.8,493.15,504.7,231695
2025-04-11,515.0,518.85,507.9,515.6,624619
2025-04-15,525.0,535.75,520.2,533.65,835062
2025-04-16,537.45,542.65,534.05,538.65,667670
2025-04-17,542.0,546.7,536.0,544.3,670889
2025-04-21,550.0,561.9,549.55,556.25,616418
2025-04-22,561.35,570.0,556.1,562.75,787854
2025-04-23,585.0,611.0,578.8,606.45,4724857
2025-04-24,612.0,625.0,612.0,622.85,1487575
2025-04-25,628.3,635.0,613.1,624.8,1380732
2025-04-28,635.7,638.0,615.3,622.45,1098127
2025-04-29,625.7,628.9,606.3,613.95,1080909
2025-04-30,615.0,617.5,604.3,610.2,810746
2025-05-02,618.0,635.0,609.0,615.95,713152
2025-05-05,618.0,631.0,614.4,626.4,748634
2025-05-06,629.8,633.7,618.6,620.65,766775
2025-05-07,619.95,624.5,610.3,622.45,611005
2025-05-08,626.8,647.0,616.0,619.7,1354805
2025-05-09,613.5,621.0,604.45,619.55,810660
2025-05-12,643.95,658.8,635.05,651.95,1251146
2025-05-13,659.5,668.9,654.0,658.6,557126
2025-05-14,661.4,686.95,658.55,677.35,1279264
2025-05-15,680.9,692.4,670.9,679.15,618326
2025-05-16,680.0,687.0,678.9,684.2,349080
2025-05-19,685.7,704.35,679.9,690.55,548831
2025-05-20,694.45,704.4,690.0,692.15,406274
2025-05-21,692.9,708.0,690.8,699.9,411099
2025-05-22,699.75,707.0,698.65,702.85,323454
2025-05-23,704.0,712.5,698.85,703.75,412402
2025-05-26,707.8,715.7,705.0,706.45,316468
2025-05-27,707.6,709.95,700.1,705.0,217648
2025-05-28,708.4,718.0,707.8,710.9,273301
2025-05-29,712.8,713.45,702.55,705.9,270728
2025-05-30,706.9,718.7,698.1,701.55,514694
2025-06-02,703.0,712.75,701.0,703.55,350946
2025-06-03,704.7,709.0,702.15,705.2,255299
2025-06-04,705.0,707.8,702.5,705.55,439355
2025-06-05,706.9,708.8,693.0,696.75,515860
2025-06-06,702.5,710.0,695.0,701.1,256532
2025-06-09,704.9,723.0,702.7,714.8,522832
2025-06-10,717.6,718.7,698.15,711.65,380218
2025-06-11,713.6,717.0,696.05,700.45,386955
2025-06-12,701.3,704.7,690.15,694.85,408420
